case_id,U,alpha,naca_0,naca_1,naca_2,naca_3,cl,cd
airFoil2D_SST_39.45_1.609_0.12_5.114_1.0_18.279,39.45,1.609,0.12,5.114,1.0,18.279,0.16941901334156706,0.010826969005304738
airFoil2D_SST_39.497_-4.94_0.473_3.219_1.0_16.447,39.497,-4.94,0.473,3.219,1.0,16.447,-0.4783183629814425,0.011147155550386034
airFoil2D_SST_39.741_14.642_3.175_3.316_1.0_10.583,39.741,14.642,3.175,3.316,1.0,10.583,1.6186524132539946,0.026431262279151685
airFoil2D_SST_40.386_12.852_6.446_2.175_5.908,40.386,12.852,6.446,2.175,5.908,0.0,1.8354005379760252,0.02533341174555002
airFoil2D_SST_40.539_-2.945_3.79_7.613_1.0_16.903,40.539,-2.945,3.79,7.613,1.0,16.903,0.08598602810691515,0.010720389980243845
airFoil2D_SST_40.676_-2.366_6.027_6.14_15.943,40.676,-2.366,6.027,6.14,15.943,0.0,0.4300821165320653,0.0118875797875857
airFoil2D_SST_40.889_1.007_0.351_5.275_0.0_13.936,40.889,1.007,0.351,5.275,0.0,13.936,0.13729092494062092,0.009625558878157367
airFoil2D_SST_41.044_-0.773_1.334_6.785_1.0_16.207,41.044,-0.773,1.334,6.785,1.0,16.207,0.048658934781038464,0.010145982633057882
airFoil2D_SST_41.46_9.803_3.08_4.075_9.069,41.46,9.803,3.08,4.075,9.069,0.0,1.3473030615297286,0.01539843533423289
airFoil2D_SST_41.987_6.655_3.211_6.639_1.0_12.572,41.987,6.655,3.211,6.639,1.0,12.572,1.0200696142660635,0.012745214393875442
airFoil2D_SST_42.34_1.874_0.761_3.136_1.0_10.022,42.34,1.874,0.761,3.136,1.0,10.022,0.25422159946709644,0.008876411645582482
airFoil2D_SST_42.852_2.968_4.36_4.68_15.63,42.852,2.968,4.36,4.68,15.63,0.0,0.7634469495521926,0.01198183276726801
airFoil2D_SST_43.007_1.079_3.697_3.071_1.0_12.272,43.007,1.079,3.697,3.071,1.0,12.272,0.35153212121307054,0.00959370391586642
airFoil2D_SST_43.071_6.024_6.914_5.245_8.861,43.071,6.024,6.914,5.245,8.861,0.0,1.3991727284194706,0.014915162769742328
airFoil2D_SST_43.22_2.151_0.231_7.553_1.0_8.814,43.22,2.151,0.231,7.553,1.0,8.814,0.26198522805269775,0.008633697193675606
airFoil2D_SST_43.485_4.923_6.434_0.0_16.699,43.485,4.923,6.434,0.0,16.699,0.0,0.5136647362863429,0.011145935344345914
airFoil2D_SST_43.677_-1.764_0.243_7.109_0.0_19.17,43.677,-1.764,0.243,7.109,0.0,19.17,-0.1496569290277555,0.010874588781604338
airFoil2D_SST_43.705_13.408_1.172_7.422_1.0_10.039,43.705,13.408,1.172,7.422,1.0,10.039,1.4647353566222605,0.02127373205058098
airFoil2D_SST_44.227_-4.876_2.759_4.844_17.236,44.227,-4.876,2.759,4.844,17.236,0.0,-0.22707977658210715,0.010850476193810197
airFoil2D_SST_44.638_-2.059_2.312_4.328_1.0_17.415,44.638,-2.059,2.312,4.328,1.0,17.415,-0.039350660072445656,0.01033164094621717
airFoil2D_SST_44.995_5.582_0.618_7.104_1.0_16.596,44.995,5.582,0.618,7.104,1.0,16.596,0.6363906356619458,0.01158216077072358
airFoil2D_SST_45.059_0.002_4.332_6.389_8.438,45.059,0.002,4.332,6.389,8.438,0.0,0.5848790161135647,0.009353652665765691
airFoil2D_SST_45.238_3.827_0.257_4.609_15.737,45.238,3.827,0.257,4.609,15.737,0.0,0.4263869348399469,0.010472674456296129
airFoil2D_SST_45.331_8.408_0.677_4.87_1.0_6.642,45.331,8.408,0.677,4.87,1.0,6.642,0.9582077065766412,0.012216934981450552
airFoil2D_SST_45.931_0.03_3.709_7.593_0.0_14.706,45.931,0.03,3.709,7.593,0.0,14.706,0.4012238177704919,0.01023853109703723
airFoil2D_SST_46.153_14.283_2.481_0.0_17.366,46.153,14.283,2.481,0.0,17.366,0.0,1.3355848556621455,0.02327572459991871
airFoil2D_SST_46.385_3.538_4.58_2.02_19.22,46.385,3.538,4.58,2.02,19.22,0.0,0.7484013640886062,0.013164004147114224
airFoil2D_SST_47.017_-4.369_4.85_6.296_6.401,47.017,-4.369,4.85,6.296,6.401,0.0,0.17723704844491692,0.008862344414862682
airFoil2D_SST_47.569_6.831_5.929_1.976_17.811,47.569,6.831,5.929,1.976,17.811,0.0,1.1912931806075535,0.01709332184973906
airFoil2D_SST_47.789_3.639_3.974_7.872_1.0_16.005,47.789,3.639,3.974,7.872,1.0,16.005,0.8049531757741694,0.012203044837921489
airFoil2D_SST_48.233_10.709_5.735_0.0_13.559,48.233,10.709,5.735,0.0,13.559,0.0,1.113187843151437,0.014875184562283787
airFoil2D_SST_48.999_7.352_4.239_5.813_7.804,48.999,7.352,4.239,5.813,7.804,0.0,1.2993568809144076,0.013304349060461792
airFoil2D_SST_49.099_14.068_3.006_4.916_1.0_11.985,49.099,14.068,3.006,4.916,1.0,11.985,1.6042141695852656,0.024112162651181768
airFoil2D_SST_50.206_7.207_3.049_5.713_11.406,50.206,7.207,3.049,5.713,11.406,0.0,1.1307886657882804,0.012698206064262994
airFoil2D_SST_50.26_6.348_0.664_2.664_6.806,50.26,6.348,0.664,2.664,6.806,0.0,0.7576741166510117,0.009997754129939468
airFoil2D_SST_50.859_8.157_3.691_6.731_14.438,50.859,8.157,3.691,6.731,14.438,0.0,1.28415023285099,0.015786670492986016
airFoil2D_SST_51.101_7.597_0.458_3.077_0.0_14.85,51.101,7.597,0.458,3.077,0.0,14.85,0.8241274747331632,0.012026696514219535
airFoil2D_SST_52.195_-1.473_3.503_3.753_13.675,52.195,-1.473,3.503,3.753,13.675,0.0,0.20237476029975626,0.009415259218319769
airFoil2D_SST_52.403_3.314_3.418_5.667_0.0_10.515,52.403,3.314,3.418,5.667,0.0,10.515,0.6717963249661786,0.009767536675800527
airFoil2D_SST_52.518_12.114_1.135_6.268_0.0_5.676,52.518,12.114,1.135,6.268,0.0,5.676,1.324682924694822,0.023746272546008248
airFoil2D_SST_53.509_6.273_1.063_0.0_7.271,53.509,6.273,1.063,0.0,7.271,0.0,0.6844260831160869,0.009751516787142069
airFoil2D_SST_53.794_-1.06_0.949_6.535_1.0_18.71,53.794,-1.06,0.949,6.535,1.0,18.71,-0.019738985074580138,0.010304262708199848
airFoil2D_SST_53.943_5.835_1.916_4.258_1.0_17.602,53.943,5.835,1.916,4.258,1.0,17.602,0.7364593847094187,0.012086592813395237
airFoil2D_SST_54.238_7.911_2.123_3.832_1.0_9.902,54.238,7.911,2.123,3.832,1.0,9.902,1.0041999461305866,0.011712816017710776
airFoil2D_SST_54.799_-2.718_5.872_6.096_7.675,54.799,-2.718,5.872,6.096,7.675,0.0,0.4703285894713772,0.009060563808597774
airFoil2D_SST_55.077_8.22_6.909_2.893_8.962,55.077,8.22,6.909,2.893,8.962,0.0,1.5322319299992586,0.015480002142159822
airFoil2D_SST_55.308_7.17_6.477_0.0_18.743,55.308,7.17,6.477,0.0,18.743,0.0,0.7254413011162432,0.012440102683534867
airFoil2D_SST_55.312_11.209_2.831_6.36_12.435,55.312,11.209,2.831,6.36,12.435,0.0,1.4770314032424123,0.017880120178252766
airFoil2D_SST_55.738_5.776_4.948_4.671_16.637,55.738,5.776,4.948,4.671,16.637,0.0,1.0882468271542265,0.014410509761136694
airFoil2D_SST_56.39_-3.195_4.964_2.726_18.605,56.39,-3.195,4.964,2.726,18.605,0.0,0.11744619717115572,0.01061574981191761
airFoil2D_SST_56.549_-4.731_1.476_6.357_0.0_17.547,56.549,-4.731,1.476,6.357,0.0,17.547,-0.34684877244209344,0.010488057997805191
airFoil2D_SST_57.682_-2.023_5.676_5.094_12.787,57.682,-2.023,5.676,5.094,12.787,0.0,0.4292279153761092,0.009779248005350143
airFoil2D_SST_57.812_8.479_2.45_0.0_13.247,57.812,8.479,2.45,0.0,13.247,0.0,0.9003548113313274,0.012000829252167285
airFoil2D_SST_58.038_-4.278_2.807_7.062_1.0_8.833,58.038,-4.278,2.807,7.062,1.0,8.833,-0.17306727236969188,0.00870426785446182
airFoil2D_SST_58.451_-4.262_3.372_4.615_1.0_19.965,58.451,-4.262,3.372,4.615,1.0,19.965,-0.16590688797902234,0.010745641129402532
airFoil2D_SST_58.57_-1.369_3.793_3.749_1.0_19.086,58.57,-1.369,3.793,3.749,1.0,19.086,0.11637226570824721,0.01036042855609927
airFoil2D_SST_58.859_13.222_0.658_5.498_17.478,58.859,13.222,0.658,5.498,17.478,0.0,1.3337519434546852,0.02027285396153184
airFoil2D_SST_58.936_8.84_0.236_5.883_5.629,58.936,8.84,0.236,5.883,5.629,0.0,0.9729027853466802,0.013470454831345405
airFoil2D_SST_59.086_9.398_0.12_7.508_1.0_17.704,59.086,9.398,0.12,7.508,1.0,17.704,0.9568809963530176,0.013882844118614535
airFoil2D_SST_59.225_-4.585_3.966_4.454_18.289,59.225,-4.585,3.966,4.454,18.289,0.0,-0.08822781182057336,0.010564327134046887
airFoil2D_SST_59.245_2.515_1.376_6.044_17.151,59.245,2.515,1.376,6.044,17.151,0.0,0.41569153731079683,0.010282671217418814
airFoil2D_SST_59.266_-3.994_5.206_2.719_14.894,59.266,-3.994,5.206,2.719,14.894,0.0,0.07556307640893335,0.009789436976781236
airFoil2D_SST_59.54_7.06_1.755_5.581_0.0_16.764,59.54,7.06,1.755,5.581,0.0,16.764,0.8787247518250005,0.01249154552043827
airFoil2D_SST_59.56_-4.362_1.048_5.664_1.0_18.157,59.56,-4.362,1.048,5.664,1.0,18.157,-0.35197946374057953,0.010497531918079566
airFoil2D_SST_59.682_-3.433_2.583_6.336_0.0_19.86,59.682,-3.433,2.583,6.336,0.0,19.86,-0.10940840457134549,0.010618621449551604
airFoil2D_SST_59.75_10.766_1.309_0.0_13.674,59.75,10.766,1.309,0.0,13.674,0.0,1.1196972749360747,0.014402663118339638
airFoil2D_SST_59.789_11.839_4.032_0.0_6.722,59.789,11.839,4.032,0.0,6.722,0.0,1.220717923896614,0.02015297861367528
airFoil2D_SST_59.921_-3.747_1.144_3.005_1.0_6.322,59.921,-3.747,1.144,3.005,1.0,6.322,-0.3410087959935817,0.008200578578148113
airFoil2D_SST_60.182_1.471_0.846_5.446_1.0_5.533,60.182,1.471,0.846,5.446,1.0,5.533,0.23662155353995543,0.0075577643721225045
airFoil2D_SST_60.295_-0.953_1.701_6.885_1.0_6.221,60.295,-0.953,1.701,6.885,1.0,6.221,0.07130143891234894,0.007619856188272073
airFoil2D_SST_60.541_2.401_0.081_0.0_16.295,60.541,2.401,0.081,0.0,16.295,0.0,0.25090282586510765,0.009701867071299494
airFoil2D_SST_60.845_6.456_1.199_7.473_0.0_6.09,60.845,6.456,1.199,7.473,0.0,6.09,0.8334223306178785,0.009861398400041885
airFoil2D_SST_61.301_0.196_6.046_2.274_10.855,61.301,0.196,6.046,2.274,10.855,0.0,0.616610692518909,0.00954264813736037
airFoil2D_SST_61.642_14.277_1.498_5.176_0.0_16.386,61.642,14.277,1.498,5.176,0.0,16.386,1.4643556864828562,0.023744364846893573
airFoil2D_SST_61.676_0.83_2.7_0.0_12.742,61.676,0.83,2.7,0.0,12.742,0.0,0.0920343838516516,0.008703624959895132
airFoil2D_SST_61.728_9.994_3.311_7.957_1.0_7.685,61.728,9.994,3.311,7.957,1.0,7.685,1.4224708153245817,0.01481728779134631
airFoil2D_SST_62.562_4.388_6.255_0.0_6.292,62.562,4.388,6.255,0.0,6.292,0.0,0.48342461624915023,0.00835654632117528
airFoil2D_SST_62.607_8.578_0.875_0.0_8.812,62.607,8.578,0.875,0.0,8.812,0.0,0.925839299788215,0.011507520806071241
airFoil2D_SST_62.644_9.845_4.588_0.0_7.441,62.644,9.845,4.588,0.0,7.441,0.0,1.0512952548167875,0.013521271292458389
airFoil2D_SST_62.723_-1.384_2.243_6.46_0.0_8.85,62.723,-1.384,2.243,6.46,0.0,8.85,0.07084120963599261,0.008056271191024103
airFoil2D_SST_63.019_8.632_2.096_5.269_0.0_11.982,63.019,8.632,2.096,5.269,0.0,11.982,1.0990456888844962,0.012577041866030057
airFoil2D_SST_63.402_0.697_0.552_4.569_0.0_19.052,63.402,0.697,0.552,4.569,0.0,19.052,0.11016170287320334,0.01012554120045334
airFoil2D_SST_63.433_6.161_3.278_0.0_6.358,63.433,6.161,3.278,0.0,6.358,0.0,0.6734968646404277,0.009377392616312555
airFoil2D_SST_63.558_0.533_2.903_5.904_14.47,63.558,0.533,2.903,5.904,14.47,0.0,0.4065590206132929,0.009542677289468377
airFoil2D_SST_63.757_8.194_0.641_6.49_16.591,63.757,8.194,0.641,6.49,16.591,0.0,0.9213352110367119,0.012641064257094606
airFoil2D_SST_64.12_14.249_1.383_3.978_16.037,64.12,14.249,1.383,3.978,16.037,0.0,1.4850138629920893,0.023012690408487513
airFoil2D_SST_64.144_0.932_1.956_3.115_0.0_17.336,64.144,0.932,1.956,3.115,0.0,17.336,0.21855337442301795,0.009805364198052453
airFoil2D_SST_64.163_5.971_3.082_0.0_19.379,64.163,5.971,3.082,0.0,19.379,0.0,0.5985001660108591,0.011587085589051579
airFoil2D_SST_64.171_10.66_1.42_3.551_11.686,64.171,10.66,1.42,3.551,11.686,0.0,1.261736743614591,0.014595173402643952
airFoil2D_SST_64.173_1.751_1.546_7.336_1.0_18.982,64.173,1.751,1.546,7.336,1.0,18.982,0.3279300839767305,0.010445759811581665
airFoil2D_SST_64.341_8.316_0.545_6.883_1.0_16.251,64.341,8.316,0.545,6.883,1.0,16.251,0.9131746890880333,0.012543557947345348
airFoil2D_SST_64.598_8.654_3.566_5.34_7.491,64.598,8.654,3.566,5.34,7.491,0.0,1.339356316875421,0.01348392031921794
airFoil2D_SST_65.002_11.743_1.823_7.599_1.0_15.595,65.002,11.743,1.823,7.599,1.0,15.595,1.3545168096014577,0.017832176843868813
airFoil2D_SST_65.137_-0.857_1.659_4.203_1.0_7.197,65.137,-0.857,1.659,4.203,1.0,7.197,0.03097825102838002,0.007645603055803921
airFoil2D_SST_65.163_5.647_2.202_2.997_5.159,65.163,5.647,2.202,2.997,5.159,0.0,0.840914766713904,0.00933738562825863
airFoil2D_SST_65.202_-3.411_1.499_5.063_12.467,65.202,-3.411,1.499,5.063,12.467,0.0,-0.19764248529296866,0.00883371503692448
airFoil2D_SST_65.717_9.69_2.928_3.947_15.912,65.717,9.69,2.928,3.947,15.912,0.0,1.2698894120465523,0.015679993137887413
airFoil2D_SST_66.817_3.963_6.749_0.0_5.301,66.817,3.963,6.749,0.0,5.301,0.0,0.4363902436350689,0.007990139018596916
airFoil2D_SST_67.706_-0.1_1.95_5.358_10.058,67.706,-0.1,1.95,5.358,10.058,0.0,0.228629654811278,0.008187281650325885
airFoil2D_SST_67.783_-2.041_4.431_3.865_18.25,67.783,-2.041,4.431,3.865,18.25,0.0,0.2128403098210276,0.010234571180954832
airFoil2D_SST_68.096_11.613_1.485_4.441_1.0_11.892,68.096,11.613,1.485,4.441,1.0,11.892,1.3231881837900779,0.015649383433837132
airFoil2D_SST_68.256_7.603_0.268_7.095_0.0_11.801,68.256,7.603,0.268,7.095,0.0,11.801,0.8468399182972531,0.0108339207774608
airFoil2D_SST_69.059_3.724_3.171_4.629_1.0_6.078,69.059,3.724,3.171,4.629,1.0,6.078,0.6616873314941527,0.00844753108643557
airFoil2D_SST_69.687_7.38_3.55_0.0_14.415,69.687,7.38,3.55,0.0,14.415,0.0,0.7859376275251588,0.011032920499434367
airFoil2D_SST_70.228_11.772_6.988_2.903_7.517,70.228,11.772,6.988,2.903,7.517,0.0,1.8409817146577105,0.020574735085633133
airFoil2D_SST_70.291_2.396_6.998_5.692_7.274,70.291,2.396,6.998,5.692,7.274,0.0,1.1193682836121042,0.010764294938804108
airFoil2D_SST_70.349_11.188_2.899_4.134_1.0_13.659,70.349,11.188,2.899,4.134,1.0,13.659,1.3642645012644894,0.01621282337572017
airFoil2D_SST_70.983_-3.536_6.368_0.0_7.157,70.983,-3.536,6.368,0.0,7.157,0.0,-0.3885173571525196,0.007968847084915536
airFoil2D_SST_71.208_7.824_6.959_4.175_15.338,71.208,7.824,6.959,4.175,15.338,0.0,1.453756297537588,0.018379363068702685
airFoil2D_SST_71.226_3.333_2.424_2.411_10.928,71.226,3.333,2.424,2.411,10.928,0.0,0.60703074258592,0.00905193419665504
airFoil2D_SST_72.141_12.23_1.127_4.281_1.0_10.461,72.141,12.23,1.127,4.281,1.0,10.461,1.359027419219056,0.016318207655760718
airFoil2D_SST_72.611_-2.163_0.02_6.478_0.0_14.131,72.611,-2.163,0.02,6.478,0.0,14.131,-0.23074747378211455,0.008891040705158905
airFoil2D_SST_73.068_7.205_1.715_4.528_1.0_18.018,73.068,7.205,1.715,4.528,1.0,18.018,0.8654137857756512,0.012407727963902493
airFoil2D_SST_73.459_-1.971_2.825_4.417_0.0_16.891,73.459,-1.971,2.825,4.417,0.0,16.891,0.00973778436057066,0.009399061095855
airFoil2D_SST_73.692_11.215_3.983_6.074_12.055,73.692,11.215,3.983,6.074,12.055,0.0,1.5932571891617102,0.018480937448350814
airFoil2D_SST_73.967_-1.295_1.592_4.266_1.0_16.148,73.967,-1.295,1.592,4.266,1.0,16.148,-0.016220315109143946,0.009155053056806564
airFoil2D_SST_74.033_-0.601_1.517_3.622_0.0_10.34,74.033,-0.601,1.517,3.622,0.0,10.34,0.04058269029424194,0.007984304612433886
airFoil2D_SST_74.044_-0.131_0.701_3.971_0.0_15.683,74.044,-0.131,0.701,3.971,0.0,15.683,0.03713565550987407,0.009031193446015627
airFoil2D_SST_74.272_3.789_5.009_2.87_14.319,74.272,3.789,5.009,2.87,14.319,0.0,0.8996994233694786,0.011072401069292116
airFoil2D_SST_74.904_11.928_3.13_4.428_0.0_10.283,74.904,11.928,3.13,4.428,0.0,10.283,1.4816077609337017,0.016554536521055735
airFoil2D_SST_74.924_10.466_3.207_0.0_15.011,74.924,10.466,3.207,0.0,15.011,0.0,1.088305748617897,0.013693075368982694
airFoil2D_SST_75.101_-3.321_6.728_6.938_17.749,75.101,-3.321,6.728,6.938,17.749,0.0,0.43269135618280047,0.012586596849565855
airFoil2D_SST_76.324_13.23_3.356_4.179_0.0_6.321,76.324,13.23,3.356,4.179,0.0,6.321,1.60000075168773,0.020107101181189947
airFoil2D_SST_76.343_0.584_1.898_5.246_0.0_18.069,76.343,0.584,1.898,5.246,0.0,18.069,0.217116023879486,0.00969925183081622
airFoil2D_SST_78.068_-2.258_1.532_4.616_1.0_18.367,78.068,-2.258,1.532,4.616,1.0,18.367,-0.11163729710534573,0.009631406809662795
airFoil2D_SST_78.105_-0.517_5.9_0.0_15.034,78.105,-0.517,5.9,0.0,15.034,0.0,-0.049981871931223096,0.008807360142680836
airFoil2D_SST_78.164_-1.095_4.121_3.479_6.946,78.164,-1.095,4.121,3.479,6.946,0.0,0.3209726683527745,0.007705892054892259
airFoil2D_SST_78.501_14.686_1.641_0.0_17.637,78.501,14.686,1.641,0.0,17.637,0.0,1.3936157025459666,0.02183047387671669
airFoil2D_SST_79.502_3.387_4.058_0.0_17.153,79.502,3.387,4.058,0.0,17.153,0.0,0.35723068039141304,0.009664679828102133
airFoil2D_SST_79.552_4.065_0.184_6.952_14.205,79.552,4.065,0.184,6.952,14.205,0.0,0.46235166176352954,0.009251008459304724
airFoil2D_SST_80.247_1.078_1.298_5.983_0.0_5.593,80.247,1.078,1.298,5.983,0.0,5.593,0.2409861503382526,0.007204130562793494
airFoil2D_SST_80.611_-1.934_4.377_0.0_7.627,80.611,-1.934,4.377,0.0,7.627,0.0,-0.21289683501059867,0.007519544200390827
airFoil2D_SST_80.715_4.776_3.703_6.357_1.0_11.797,80.715,4.776,3.703,6.357,1.0,11.797,0.8818433607600419,0.010221366064114529
airFoil2D_SST_80.801_6.115_3.214_4.553_1.0_8.054,80.801,6.115,3.214,4.553,1.0,8.054,0.9239784172203622,0.009761856096447193
airFoil2D_SST_81.115_-3.901_4.771_2.338_11.129,81.115,-3.901,4.771,2.338,11.129,0.0,0.04609203074438224,0.008619277966200182
airFoil2D_SST_81.138_14.286_2.69_1.944_10.511,81.138,14.286,2.69,1.944,10.511,0.0,1.6735371890849742,0.02166150873608061
airFoil2D_SST_81.349_2.289_1.592_3.425_10.894,81.349,2.289,1.592,3.425,10.894,0.0,0.42037555759985534,0.008352278943092028
airFoil2D_SST_81.551_-0.327_1.68_2.563_19.333,81.551,-0.327,1.68,2.563,19.333,0.0,0.11404913129309215,0.009787777931485836
airFoil2D_SST_81.645_7.57_2.408_5.987_11.876,81.645,7.57,2.408,5.987,11.876,0.0,1.11343634269715,0.011690395037583238
airFoil2D_SST_82.21_13.462_0.176_6.355_0.0_12.645,82.21,13.462,0.176,6.355,0.0,12.645,1.3898379999683868,0.017931094504369305
airFoil2D_SST_82.474_-3.457_1.866_7.496_0.0_16.213,82.474,-3.457,1.866,7.496,0.0,16.213,-0.16635929000831523,0.009225795515521698
airFoil2D_SST_82.537_6.598_2.148_5.703_1.0_12.892,82.537,6.598,2.148,5.703,1.0,12.892,0.9060407768271816,0.010699975023481193
airFoil2D_SST_82.708_1.905_2.307_5.28_1.0_16.618,82.708,1.905,2.307,5.28,1.0,16.618,0.3975940715023544,0.009558410394963697
airFoil2D_SST_83.38_-2.726_5.005_0.0_14.408,83.38,-2.726,5.005,0.0,14.408,0.0,-0.2891747545875893,0.008830967274284132
airFoil2D_SST_84.137_13.126_3.096_3.725_0.0_14.021,84.137,13.126,3.096,3.725,0.0,14.021,1.5275542542105662,0.01937986482136153
airFoil2D_SST_85.752_6.341_0.382_6.715_8.448,85.752,6.341,0.382,6.715,8.448,0.0,0.7496516019553526,0.00925830459724149
airFoil2D_SST_86.061_2.445_0.422_5.645_19.256,86.061,2.445,0.422,5.645,19.256,0.0,0.28928340905999816,0.00988929765359971
airFoil2D_SST_86.166_13.513_6.09_3.38_7.324,86.166,13.513,6.09,3.38,7.324,0.0,1.8932697073300548,0.02422608925555221
airFoil2D_SST_86.326_9.572_2.09_6.863_0.0_12.995,86.326,9.572,2.09,6.863,0.0,12.995,1.2217628625457166,0.013212924670398786
airFoil2D_SST_86.745_2.442_0.921_0.0_6.854,86.745,2.442,0.921,0.0,6.854,0.0,0.27050606655311954,0.007395055608859028
airFoil2D_SST_86.75_14.13_0.471_5.71_17.904,86.75,14.13,0.471,5.71,17.904,0.0,1.3993187689825302,0.020656410886078443
airFoil2D_SST_86.999_4.281_3.703_4.242_1.0_7.47,86.999,4.281,3.703,4.242,1.0,7.47,0.7535591304630986,0.008714859392820126
airFoil2D_SST_87.005_2.047_1.955_5.456_13.769,87.005,2.047,1.955,5.456,13.769,0.0,0.45466328110548593,0.008904849969642444
airFoil2D_SST_87.122_9.543_1.939_7.623_0.0_18.823,87.122,9.543,1.939,7.623,0.0,18.823,1.1398696888150726,0.015166176620308117
airFoil2D_SST_87.291_7.541_4.057_0.0_17.571,87.291,7.541,4.057,0.0,17.571,0.0,0.7832477786930864,0.011394032668685517
airFoil2D_SST_87.86_9.36_4.554_3.608_8.92,87.86,9.36,4.554,3.608,8.92,0.0,1.461963146663,0.013799368652993409
airFoil2D_SST_88.059_8.244_0.417_6.024_1.0_14.488,88.059,8.244,0.417,6.024,1.0,14.488,0.9133285511369776,0.011340873814980447
airFoil2D_SST_88.307_-4.328_3.461_7.533_0.0_15.226,88.307,-4.328,3.461,7.533,0.0,15.226,-0.08846656845944618,0.009127264805587218
airFoil2D_SST_88.876_8.65_5.651_2.009_12.21,88.876,8.65,5.651,2.009,12.21,0.0,1.4447174038952932,0.014554938454577365
airFoil2D_SST_89.324_10.448_2.949_4.158_1.0_10.198,89.324,10.448,2.949,4.158,1.0,10.198,1.3321920443504518,0.013700047046687182
airFoil2D_SST_89.338_1.322_3.719_4.337_14.632,89.338,1.322,3.719,4.337,14.632,0.0,0.544200414691462,0.00934287061842134
airFoil2D_SST_89.398_3.144_2.383_4.897_1.0_14.52,89.398,3.144,2.383,4.897,1.0,14.52,0.5369107159529193,0.00931723541357072
airFoil2D_SST_89.523_6.267_4.381_6.934_14.085,89.523,6.267,4.381,6.934,14.085,0.0,1.2280542245921429,0.013359695256588783
