design_id,split,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,cd
E_S_WW_WM_669,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3402,11.199,4.92569,17.1536,0.38,1.37,-4.9674,3.64302,-1.45206,-91.8862,-13.3394,-0.3,3.96711,-0.1,33.6372,19.415,6.51483,3.01426,25.0402,32.9121,-34.4428,-51.973,-85.5948,0.2775085634916944
F_S_WWC_WM_636,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.357469,-4.33703,-1.77143,-0.954274,2.3,-1.62,-0.578024,-4.62914,16.6036,-2.84335,-8.98883,0.4,3.47603,0.2,10.9374,7.84816,28.2167,50.2406,-48.5693,39.071,59.0862,37.9884,-57.0252,0.2625116531295681
E_S_WWC_WM_460,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00715,2.57958,4.36947,14.0516,1.4,2.47,-3.92593,3.47031,-44.1067,-58.8338,-10.2686,0.2,-23.1767,0.1,33.2672,15.8925,27.0913,19.242,69.8037,-48.5251,39.919,-16.0539,44.0016,0.2613688166744186
F_S_WWC_WM_566,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.2647,12.8381,-3.79118,1.04384,-0.72,1.69,0.0126929,-4.83628,-3.24396,-68.366,-6.25479,0.5,14.5735,0.6,-17.6654,9.64931,7.99157,34.4793,-38.223,23.1208,-3.89743,-50.4913,-30.6928,0.2609324374219269
E_S_WWC_WM_275,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05372,-1.7724,10.9126,0.0973435,1.82,1.72,4.19496,-0.52494,-45.4573,-75.8094,-7.912,0.7,-10.0089,-0.4,49.5611,-12.0916,-11.6556,1.97604,91.4513,18.3414,37.1844,-20.4731,-167.56,0.2334522432724252
E_S_WWC_WM_276,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.42347,10.9891,13.7672,-15.3467,2.14,-0.92,-2.11525,1.30529,8.21663,137.958,-1.93786,-0.2,-15.1231,0.2,20.6025,10.3922,-27.4453,-0.873207,37.4045,49.1972,131.751,23.3243,-182.521,0.294041648385382
F_S_WWC_WM_495,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.67123,-2.23315,12.4647,16.1141,2.22,1.05,17.5276,1.06589,-13.729,117.447,-1.01156,0.2,26.7459,0.1,49.1517,-0.567055,-26.7538,53.8965,74.884,-20.7042,117.904,-32.0126,25.1124,0.2443368627940199
E_S_WWC_WM_188,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7738,5.17264,-1.75644,-18.8721,-0.41,2.06,-1.62657,3.40983,0.396249,17.2428,-8.07586,0.4,-21.2796,0.9,20.2346,29.2967,15.8816,8.52823,7.35779,-37.4068,-57.0275,33.6014,-93.502,0.2819572042159468
N_S_WWC_WM_068,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.65745,8.99024,8.79453,5.66608,1.03,0.58,-0.314952,-0.52494,-47.5101,-70.65,-2.10159,0.1,32.8529,0.4,45.495,25.0571,-16.1636,-8.30319,-30.522,-48.5251,40.6694,15.8643,-113.417,0.2326784211162791
N_S_WW_WM_568,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0805,8.24602,0.429682,-9.2503,0.72,-0.49,-9.50749,2.39164,-46.884,-69.3381,-5.57075,0.7,-6.11959,0.2,25.4817,19.0752,-29.9826,-23.6021,89.6997,-5.63558,9.51692,7.80634,119.77,0.2410689494717608
N_S_WWC_WM_409,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.90626,6.41443,0.0805201,-11.6002,-0.35,1.88,-7.25845,0.931802,-25.7963,75.4375,4.24351,0.4,11.384,0.5,15.7247,-0.0712194,2.2374,50.5181,-53.1378,-27.4403,112.168,12.3265,-177.049,0.262028005385382
F_S_WWC_WM_005,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.4013,14.4599,-7.42478,1.53958,1.61,1.63,9.68012,1.45601,-42.2052,-84.3797,1.01613,-0.2,21.7387,0.0,24.237,-12.3992,-6.84681,35.6022,93.1151,-10.7627,125.788,-23.9256,94.305,0.2653965985681063
E_S_WWC_WM_335,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44122,7.65222,-5.51231,16.6888,2.05,0.94,-6.21613,2.45244,-23.3352,102.215,-0.614546,0.7,-6.91031,0.1,-22.7709,24.0664,13.9952,48.1174,6.30713,35.7724,3.74546,-22.3764,-105.964,0.3100033716644518
F_S_WWC_WM_060,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.70991,-6.24441,6.3333,1.3463,-0.58,-1.5,13.4125,2.1444,21.9391,-8.04368,-2.28827,0.5,38.5761,-0.1,40.6825,1.12416,9.69321,23.7555,113.983,-46.3008,96.9151,45.4771,-90.8983,0.2330554989468438
N_S_WWS_WM_343,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.87982,3.83745,12.0419,-18.8721,0.6,0.59,19.0692,3.6922,49.2893,10.2517,-14.5269,-0.1,-25.2619,0.7,18.6404,-4.18289,1.8141,-14.5609,87.0901,-18.5243,39.3032,-43.6017,103.999,0.2499279680099667
N_S_WW_WM_241,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.93651,-0.173017,-0.273907,-10.0037,-0.92,0.25,9.65055,-4.74297,6.61181,23.3161,-2.58107,-0.2,-16.3513,0.7,38.8672,-9.78815,-1.85329,-23.6688,-49.7578,46.5323,21.6572,14.4077,-44.2832,0.2227633713156146
F_S_WWC_WM_271,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.78849,-0.948227,17.2089,-18.1868,-1.43,0.68,8.671,-2.71706,6.15086,56.5993,-9.25189,0.3,-38.0618,-0.3,-11.869,-0.14394,25.4095,52.243,49.6705,-30.5558,-0.197107,12.7099,43.3271,0.2699147359667773
N_S_WWC_WM_314,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.56111,0.34647,0.0592328,17.6739,0.56,1.83,15.5814,7.91486,2.34503,-74.3475,-1.40184,0.5,39.4068,-0.3,13.827,3.49829,25.0691,50.6882,84.5339,20.3957,52.48,35.6355,78.3736,0.2410075343421927
F_S_WWC_WM_149,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.48757,-4.27259,-4.04946,-11.2819,-1.41,-0.41,-0.376644,1.93187,-3.37328,12.6176,1.73022,-0.3,-4.06182,-0.2,-19.1538,-14.1388,-27.8259,-14.1644,75.5069,-2.05553,33.7699,-35.9679,-190.472,0.2130509221362126
F_S_WWC_WM_323,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.30894,0.454952,1.94322,-8.72595,1.74,0.02,15.0607,7.79115,-36.3385,38.5029,-5.37978,0.2,-33.5641,-0.1,-19.359,20.1422,-26.5341,-2.38861,107.976,0.272774,145.939,44.065,-130.157,0.2355013978139535
E_S_WWC_WM_356,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15217,10.4441,14.3895,-4.12416,2.15,0.28,19.7522,1.20952,28.2581,57.6658,3.80147,-0.3,-1.1724,-0.3,30.9092,-8.76952,4.48476,-16.8857,101.374,-16.4974,102.135,49.8403,-62.7159,0.2633063365980066
N_S_WW_WM_246,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.8653,2.20918,-6.00009,-13.4538,0.57,2.42,6.50637,2.4957,-11.5706,-2.84335,-9.37488,-0.2,11.2327,0.7,59.6055,28.6083,-8.93864,8.65484,-51.8824,-11.7011,54.1034,77.5939,-166.923,0.2508191096478405
E_S_WW_WM_179,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72894,5.88339,4.63623,-5.34354,2.05,0.67,-7.54053,7.56156,-33.3987,67.6668,3.36564,-0.3,-1.6228,-0.2,29.5285,-6.6733,-13.9057,29.3338,54.7002,-33.4415,113.675,74.7741,72.8665,0.2681705469534883
E_S_WW_WM_441,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72236,-1.84284,3.08507,-6.93841,2.1,0.74,-0.301438,-3.58009,8.70673,136.337,-0.0380798,0.8,-20.0031,-0.1,-1.07422,-8.8442,20.2293,-18.6247,-46.7934,-2.26014,-4.26026,15.1001,-179.803,0.2736268236511628
E_S_WWC_WM_242,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0568439,12.1773,15.102,-13.832,0.08,0.09,-2.16796,9.7487,-36.3385,62.3606,-7.01683,0.4,21.1307,0.9,-10.3374,15.8398,1.46699,-9.25673,33.7812,48.0236,-21.7546,-8.68558,-157.568,0.2842887507940199
N_S_WW_WM_214,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.73459,13.7218,11.479,-6.1504,-0.95,2.34,8.05988,3.48616,-32.9938,-57.8659,-3.40064,0.3,1.45088,-0.1,50.1441,-19.549,12.6884,3.63845,23.1184,-46.0632,39.8811,67.7814,-23.0121,0.2486422935913621
E_S_WWC_WM_507,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6404,10.0552,1.59285,12.7945,-0.25,-0.58,-5.84264,3.99054,-37.2644,-41.1733,-1.0577,-0.3,-23.368,0.4,14.9324,-12.7816,12.358,38.8872,12.1133,-30.8091,108.595,5.73284,99.2559,0.2796800190730896
F_S_WWC_WM_104,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.2,-4.89283,-2.09734,-4.98482,-0.6,2.28,0.64675,0.360836,37.4293,-28.8691,-11.4976,0.7,16.9512,0.7,-10.3374,22.4881,-17.1686,46.4631,89.3351,9.93527,128.399,46.3363,-34.7023,0.2379641036378737
F_S_WWS_WM_503,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.6842,14.1241,-1.28114,-14.3915,-1.75,-1.75,-1.35672,2.1,38.3744,93.6162,-6.12789,-0.2,20.2477,0.0,40.5454,21.3648,-12.5585,9.62728,-5.96286,13.9231,-23.8676,-42.1739,10.6805,0.265424219923588
E_S_WWC_WM_522,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8494,3.70282,8.12782,-5.16344,-1.44,1.81,11.0778,8.24795,23.9847,8.16151,3.17253,0.0,23.5666,0.4,23.9763,-16.4161,-11.5174,-2.86714,35.3315,12.5402,-31.1444,41.548,86.1186,0.2428501263920265
N_S_WWS_WM_358,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.06481,6.41443,7.82808,-6.61939,1.35,-1.19,7.91727,4.18703,-39.5568,64.7429,0.421409,0.4,-9.20463,-0.2,-16.3235,20.8719,27.7582,53.7426,10.2358,42.1983,137.682,61.7457,-176.855,0.2647520738538205
N_S_WWC_WM_285,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.51749,-3.06863,9.00653,4.73164,2.4,-1.41,4.58587,-0.0932522,-39.8811,-26.4604,3.0374,-0.1,28.5731,0.0,-10.5937,8.25393,-12.5585,-6.33228,43.5731,18.5468,86.7482,-2.52697,-159.25,0.2272785265614617
N_S_WW_WM_054,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.26423,4.82081,-0.0237125,12.9125,2.33,-0.77,-0.638662,-0.208327,35.2706,3.11396,-6.03981,0.5,31.0485,0.8,-3.00514,20.0431,-11.4415,-19.0879,63.7381,-47.553,-16.0296,34.3867,-183.844,0.2275093716013289
N_S_WWS_WM_071,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.60208,-6.99089,9.14885,-7.37605,1.48,-0.61,11.8357,9.02932,-4.0351,-82.9623,1.50487,0.7,-22.1097,0.3,21.5526,19.2907,24.5038,-21.4439,-10.7403,-3.15975,-20.5518,63.0411,-109.202,0.219216913833887
E_S_WW_WM_089,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0568439,-6.40049,-1.54967,-2.38679,0.44,2.36,-8.97293,5.3507,-43.4139,18.6714,3.70839,0.3,-14.2703,0.4,34.3541,1.23099,-12.6555,-10.4114,-9.33593,26.6183,46.96,38.8595,-50.0596,0.2364834149302325
N_S_WW_WM_429,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.09676,-1.55787,-3.0883,12.588,2.0,1.6,0.740756,4.97435,46.0644,99.9412,-2.04119,0.2,-9.33658,0.9,41.4966,-18.354,-16.6661,24.3443,48.3756,-46.5115,52.7448,64.0531,-19.8532,0.2286822233654485
N_S_WW_WM_016,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.405066,13.7781,-6.93812,14.2213,-0.85,0.07,6.27646,-4.20453,-20.2767,56.2908,-8.37114,-0.2,-18.5388,0.0,8.74272,25.3704,18.2868,12.8457,-3.18943,12.1756,-14.8453,-16.5856,-88.3032,0.271281185179402
N_S_WWC_WM_449,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.63981,3.56234,15.2639,19.2389,-1.79,-0.8,12.694,8.46845,-23.3352,23.8944,0.544804,0.0,-32.2055,0.2,-2.75811,-0.365825,-18.7559,52.2595,50.8984,29.2313,-42.7588,1.03778,17.571,0.2578858743754152
E_S_WWC_WM_257,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5541,5.72028,15.97,16.515,0.47,1.72,-9.13169,-1.45041,-35.8156,-48.2582,3.56084,0.7,-3.61829,0.5,19.3399,-1.56477,-12.8986,-2.00967,-55.6252,32.0324,-42.9489,1.23452,-121.886,0.2535369826943522
F_S_WWC_WM_369,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.2746,-7.30354,17.9064,-12.8253,-0.23,-1.0,14.6135,1.24,-26.7376,-31.1449,-11.5907,-0.1,30.6858,0.2,14.8051,-9.30925,24.5642,24.9023,-0.150447,-2.83929,38.6138,-14.5143,98.5961,0.2518892552558139
E_S_WWC_WM_561,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23307,12.5129,9.5308,-17.0844,0.98,-1.15,-8.04017,-4.11547,9.9787,23.0432,-11.3552,0.4,22.9498,-0.3,8.46223,-8.64281,-23.3503,10.8624,-41.1385,36.1476,115.919,4.10828,-127.21,0.2928180525614618
E_S_WWC_WM_520,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97793,9.13463,-5.81386,1.64216,-1.17,0.68,-9.66225,4.85197,-13.729,145.242,-7.30406,0.1,-16.482,-0.1,1.5525,-13.9675,25.6356,31.4924,29.7169,19.2904,-9.35381,70.6553,36.4189,0.3097981748305648
E_S_WW_WM_577,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86793,6.75439,8.18432,8.01674,-0.97,-1.53,19.7925,-3.03373,-6.57517,-54.6837,2.53205,-0.1,13.7918,0.3,53.4411,-10.6109,-11.282,7.46256,-19.4964,-19.4952,142.257,-10.9906,24.0573,0.2561288533920265
E_S_WWC_WM_464,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.85381,1.55394,18.955,-17.9644,-0.09,-0.83,10.2134,8.69263,30.7436,-5.67779,-8.70262,0.6,14.722,0.6,18.3665,0.60785,25.0691,45.6681,-14.1449,47.7322,92.9973,7.80634,-87.947,0.2838906896644518
F_S_WWS_WM_363,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.67264,11.2424,11.9546,-5.96281,2.38,0.17,14.1884,8.78816,21.4809,-8.33879,2.35115,0.5,-1.27164,0.9,23.2965,3.21889,17.3063,52.9781,60.8169,-11.0801,100.947,-5.15437,118.253,0.2633750665813953
F_S_WWC_WM_139,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.43033,-7.11563,16.7514,-5.76237,0.61,1.1,13.9135,-1.85339,27.6449,72.9825,1.15648,-0.3,4.17967,0.5,-13.1998,-17.2335,-24.8251,36.1192,64.2025,15.8736,17.4941,2.62575,-169.139,0.2443195914352159
E_S_WWC_WM_213,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47952,14.7044,-3.73338,10.5937,-0.98,1.91,3.4795,7.8909,16.1003,-93.5708,-0.40191,0.6,-19.685,0.4,12.1193,1.88041,11.7442,17.2496,91.4767,-48.862,44.2768,78.5295,89.5178,0.2680637203754153
F_S_WWS_WM_568,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0805,8.24602,0.429682,-9.2503,0.72,-0.49,-9.50749,2.39164,-49.4084,-69.3381,-5.57075,0.7,-9.05756,0.2,25.4817,19.0752,-29.9826,-23.2011,89.6997,-5.63558,9.51692,7.80634,119.77,0.2299249850830564
E_S_WW_WM_573,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0228,-0.415405,16.0873,5.06396,1.79,0.04,3.83212,0.273084,47.3836,-9.68008,4.35607,-0.2,-1.92406,0.1,21.3257,7.44187,-27.909,34.4141,0.580288,47.7322,-47.1534,-14.8737,-32.3928,0.2656161174518273
E_S_WW_WM_161,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.72664,9.98111,17.6955,3.86368,0.21,1.58,14.3121,4.69484,-43.6054,58.9682,-2.49146,-0.3,-22.491,0.5,38.4377,0.0750084,-20.8923,15.8399,88.3094,-36.9079,-43.6388,82.7745,2.38855,0.2807356789368771
F_S_WWS_WM_415,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.40737,9.72755,1.32949,13.4195,1.82,2.31,8.73696,5.74279,-10.4077,-25.9797,-2.79473,0.5,11.1193,0.7,-19.214,3.69856,8.48357,-23.1329,-24.7455,-23.5425,143.438,71.4388,-32.6806,0.2379351347342193
E_S_WW_WM_617,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85554,11.8244,1.48267,-17.9644,2.2,0.51,7.41279,-4.14535,23.6581,58.1814,-0.668011,0.2,22.2675,0.7,34.506,-9.46788,5.44871,5.63605,85.1278,25.3404,110.582,-53.1279,-199.063,0.2920673185880398
F_S_WWS_WM_445,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.80006,1.33829,-3.91754,7.56929,1.61,-0.47,9.84571,7.8909,-4.47754,101.955,-9.32394,0.6,38.3169,0.0,-22.8497,11.8696,-0.275121,-11.2833,112.408,-18.369,-44.7929,-18.6048,-86.2632,0.222093650269103
F_S_WWC_WM_426,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.6342,4.68227,7.27204,17.4545,0.88,0.29,12.4824,8.2065,30.2653,51.5344,4.73158,-0.3,14.7234,-0.1,46.5296,9.82516,-8.23979,39.7762,85.7022,11.8037,84.2084,-50.9106,64.7028,0.2437665129966777
F_S_WWS_WM_016,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.405066,13.7781,-6.93812,15.3269,-0.85,-0.17,6.27646,-4.20453,-20.2767,56.2908,-8.37114,-0.3,-18.2202,0.0,8.74272,25.3704,18.2868,12.8457,-15.9314,12.1756,-14.8453,-16.5856,-88.3032,0.2800594728704319
F_S_WWC_WM_125,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.7712,-7.66466,16.1569,-11.3502,0.08,0.54,15.72,5.51706,-45.1881,46.1676,3.33563,0.4,39.9837,0.6,-1.09996,-2.26754,-10.2644,4.15964,-21.3935,-9.99127,23.5452,67.4999,-124.397,0.2137009277840531
F_S_WWC_WM_684,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.97993,7.11873,7.82808,14.8911,-1.59,1.48,5.32439,-1.06147,-48.8044,-33.9988,-2.49146,0.6,-37.323,0.5,4.72482,-15.6274,29.7005,-7.95544,93.5208,-11.5578,-1.03522,60.2739,-32.3928,0.225844458757475
E_S_WW_WM_351,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84757,13.0059,1.74703,17.24,0.15,2.15,-0.147528,-4.09049,-3.75876,53.2789,-0.817519,0.3,-17.4867,-0.2,-16.495,0.833722,15.4496,5.29214,127.109,-7.53458,35.8837,-11.6082,147.043,0.2753122697607973
F_S_WWC_WM_072,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.08536,-7.41645,1.70528,-13.4914,-0.31,-1.27,11.4561,8.06763,10.9957,-17.2091,-12.8885,0.7,-19.2613,0.6,35.0653,5.39458,8.69396,51.0981,-6.44178,5.14348,72.1611,80.6637,54.7768,0.2737598103455149
E_S_WWC_WM_079,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44002,2.70905,-6.56008,3.07793,0.21,2.21,-6.01023,-1.90773,-22.051,61.5226,-5.79173,0.6,-0.218052,-0.4,-3.91867,23.1629,-12.4623,4.92562,-46.7934,4.74663,-58.1035,80.0676,-48.5334,0.2741237974850499
E_S_WW_WM_440,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69164,-1.7482,19.1802,-0.40938,-1.36,0.34,19.0052,-1.15468,-16.6626,69.8798,-13.7329,-0.2,1.17156,0.2,6.28872,27.9779,11.2274,47.3845,124.719,-10.6132,8.78044,-55.6394,-28.0429,0.2878147426943521
E_S_WWC_WM_387,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4664,-3.9189,-5.10818,-0.171758,-0.27,1.52,13.2762,4.13569,23.3473,-83.2544,-9.53954,0.2,2.53697,0.8,53.8794,-4.73001,11.3413,2.71491,-5.59761,-49.3805,-0.197107,50.2196,116.116,0.2560820017009967
N_S_WW_WM_500,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.30602,5.65423,7.60156,14.8246,1.26,2.17,-0.215358,7.03939,26.3574,-64.2514,-10.0819,0.6,39.6758,1.0,31.2077,-12.5678,2.22478,46.8448,24.0143,-31.6174,113.009,0.33236,-82.4127,0.2464247188073089
F_S_WWC_WM_066,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.2301,1.38006,-7.47713,-12.9914,-1.55,1.91,11.2614,2.00545,-42.2904,-49.1283,-2.42039,0.6,-24.6934,0.0,27.8351,22.8886,12.1077,-1.9036,-14.9876,17.6989,73.4172,-48.3214,14.8278,0.2136516122790697
E_S_WW_WM_118,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40431,7.85211,-0.602948,16.0316,-1.07,0.46,14.853,6.05978,12.6702,47.9322,-14.4971,0.1,4.5983,0.1,-18.8932,-3.1986,16.7206,26.6006,120.323,43.2338,-49.6834,19.5177,28.8173,0.2957650275083056
F_S_WWS_WM_261,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.5116,-2.12248,15.0124,-2.95051,2.32,2.21,0.172799,7.20081,-47.6531,109.582,-3.53949,0.7,-4.60236,0.0,8.18429,10.7241,23.1783,29.7642,-15.3828,34.83,8.10154,81.4034,-42.7554,0.232050758192691
F_S_WWC_WM_206,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.02235,4.85202,11.143,-3.5264,-0.47,-0.2,-2.72728,-2.48433,-42.7358,-78.498,-14.7962,0.1,-0.746037,-0.3,56.099,22.6683,23.2846,6.83643,29.4715,44.9026,76.1914,-21.6042,5.89736,0.2566028019468438
F_S_WWC_WM_203,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.4362,12.7479,8.11738,4.2518,0.42,2.36,14.9553,7.5996,-32.4565,109.751,-12.9502,0.5,-35.8701,0.5,2.08997,6.07139,19.6025,42.1837,77.9009,39.4878,78.2033,31.1652,-154.907,0.2708975176478405
